year,sector,shap_value,direction,sector_label
1996,gross_capital_formation_pct,0.9853125810623169,positive,Investment
1996,trade_pct_gdp,-0.09802507609128952,negative,Trade
1996,brent_annual_avg_usd,-0.22126884758472443,negative,Oil Price
1996,agriculture_va_pct_gdp,-0.38467514514923096,negative,Agriculture
1996,services_va_pct_gdp,-1.2203906774520874,negative,Services
1996,industry_va_pct_gdp,-2.5983951091766357,negative,Industry
1997,unemployment_rate,2.7370107173919678,positive,Labor Market
1997,agriculture_va_pct_gdp,1.98188316822052,positive,Agriculture
1997,gross_capital_formation_pct,1.176306128501892,positive,Investment
1997,trade_pct_gdp,-0.10765031725168228,negative,Trade
1997,brent_annual_avg_usd,-0.7244834303855896,negative,Oil Price
1997,services_va_pct_gdp,-1.1602938175201416,negative,Services
1997,industry_va_pct_gdp,-1.9178425073623657,negative,Industry
1998,unemployment_rate,4.092942714691162,positive,Labor Market
1998,agriculture_va_pct_gdp,3.802978754043579,positive,Agriculture
1998,gross_capital_formation_pct,2.4096262454986572,positive,Investment
1998,trade_pct_gdp,0.5536286234855652,positive,Trade
1998,brent_annual_avg_usd,-0.7019866704940796,negative,Oil Price
1998,services_va_pct_gdp,-2.026693105697632,negative,Services
1998,industry_va_pct_gdp,-2.217073678970337,negative,Industry
1999,unemployment_rate,3.924226999282837,positive,Labor Market
1999,agriculture_va_pct_gdp,3.584113597869873,positive,Agriculture
1999,gross_capital_formation_pct,1.020301103591919,positive,Investment
1999,brent_annual_avg_usd,-0.4094076454639435,negative,Oil Price
1999,trade_pct_gdp,-0.9556100964546204,negative,Trade
1999,industry_va_pct_gdp,-1.8893333673477173,negative,Industry
1999,services_va_pct_gdp,-1.8999073505401611,negative,Services
2000,unemployment_rate,4.23115873336792,positive,Labor Market
2000,agriculture_va_pct_gdp,3.539862632751465,positive,Agriculture
2000,trade_pct_gdp,0.4396180510520935,positive,Trade
2000,industry_va_pct_gdp,0.09002707898616791,positive,Industry
2000,brent_annual_avg_usd,-0.15521632134914398,negative,Oil Price
2000,gross_capital_formation_pct,-0.19725638628005981,negative,Investment
2000,services_va_pct_gdp,-1.0418938398361206,negative,Services
2001,unemployment_rate,4.056447505950928,positive,Labor Market
2001,agriculture_va_pct_gdp,3.494508743286133,positive,Agriculture
2001,trade_pct_gdp,-0.00205732649192214,negative,Trade
2001,industry_va_pct_gdp,-0.06923427432775497,negative,Industry
2001,brent_annual_avg_usd,-0.1773814707994461,negative,Oil Price
2001,gross_capital_formation_pct,-0.1965395212173462,negative,Investment
2001,services_va_pct_gdp,-0.9896063208580017,negative,Services
2002,unemployment_rate,3.9671311378479004,positive,Labor Market
2002,agriculture_va_pct_gdp,3.4782633781433105,positive,Agriculture
2002,gross_capital_formation_pct,0.7444215416908264,positive,Investment
2002,brent_annual_avg_usd,-0.24743951857089996,negative,Oil Price
2002,trade_pct_gdp,-0.5201265811920166,negative,Trade
2002,industry_va_pct_gdp,-0.5862553119659424,negative,Industry
2002,services_va_pct_gdp,-1.0710961818695068,negative,Services
2003,unemployment_rate,3.7720823287963867,positive,Labor Market
2003,agriculture_va_pct_gdp,3.0670933723449707,positive,Agriculture
2003,trade_pct_gdp,1.207841157913208,positive,Trade
2003,gross_capital_formation_pct,0.7601953744888306,positive,Investment
2003,brent_annual_avg_usd,-0.24361753463745117,negative,Oil Price
2003,services_va_pct_gdp,-1.0277602672576904,negative,Services
2003,industry_va_pct_gdp,-1.3098009824752808,negative,Industry
